FROZEN DIRECT REPLAY 3 interior 1 min_ratio 2.5610337797013676 mass matrix difference 1.3600232051658168e-15
bin required mass slack ratio
0 0.00022500000000000002 0.00023513976314385335 1.0139763143853333e-05 1.0450656139726815
1 9.3750000000000002e-05 9.6562499999992908e-05 2.8124999999929059e-06 1.0299999999999243
2 0.00040625000000000004 0.011236196085072252 0.010829946085072251 27.658328824793234
3 0.00031875000000000008 0.0082397014946082297 0.0079209514946082301 25.850043904653262
4 0.00081874999999999992 0.0055990983637712738 0.0047803483637712738 6.8385934214000299
5 0.0015749999999999998 0.0092198147916119008 0.0076448147916119008 5.85385066134089
6 0.0022125000000000001 0.012210158322740597 0.0099976583227405977 5.5187156260974444
7 0.0026124999999999998 0.016613978580166142 0.014001478580166142 6.3594176383411076
8 0.0035375000000000003 0.015201770902642473 0.011664270902642472 4.2973203965067057
9 0.0047749999999999997 0.014568006026022243 0.0097930060260222433 3.0508913143502081
10 0.0066337500000000016 0.024711706239135232 0.018077956239135232 3.7251488583584287
11 0.0095637500000000011 0.0463823519090346 0.036818601909034597 4.8498080678640276
12 0.010472500000000003 0.061828623489208853 0.051356123489208851 5.9039029352312093
13 0.011697500000000003 0.055329817321776047 0.04363231732177604 4.7300549110302228
14 0.014495000000000003 0.054309686760464354 0.039814686760464353 3.7467876343887094
15 0.0160175 0.046793386146812332 0.030775886146812332 2.9213913623731749
16 0.016140000000000002 0.047928471359504385 0.031788471359504383 2.9695459330547944
17 0.017107499999999998 0.04554396486324843 0.028436464863248433 2.6622221168054034
18 0.019866249999999995 0.057210206448257722 0.037343956448257727 2.8797687761030764
19 0.018173750000000002 0.044303097963248966 0.026129347963248964 2.4377521404910358
FROZEN DIRECT REPLAY 6 improved 2 min_ratio 1.0305687149871952 mass matrix difference 2.0816681711721685e-16
bin required mass slack ratio
0 0.00022499999999999999 0.00023512091272231175 1.0120912722311757e-05 1.0449818343213857
1 9.0625000000000007e-05 9.3395289795714575e-05 2.7702897957145679e-06 1.0305687149871952
2 0.00041875000000000001 0.011443319334827423 0.011024569334827422 27.327329754811757
3 0.00030937500000000003 0.0079452881572842377 0.007635913157284238 25.681739498292483
4 0.00080625 0.0055823705732176753 0.0047761205732176756 6.92387047840952
5 0.001575 0.0091903572734829461 0.007615357273482946 5.8351474752272674
6 0.0022218750000000003 0.01237931216861593 0.01015743716861593 5.5715610322884626
7 0.0026187500000000004 0.016498282571924178 0.013879532571924178 6.3000601706631691
8 0.0035406249999999999 0.01559411264957818 0.012053487649578179 4.4043389654589742
9 0.0047437499999999997 0.014074276865588233 0.0093305268655882335 2.966909484181973
10 0.0066556249999999983 0.025263875017983366 0.018608250017983368 3.7958681593364068
11 0.0095525000000000037 0.046200452755920905 0.0366479527559209 4.8364776504497131
12 0.010421875000000001 0.060998481857154535 0.050576606857154538 5.8529277943896405
13 0.0117 0.055918663514561942 0.04421866351456194 4.7793729499625588
14 0.014549375000000002 0.054474876221543789 0.039925501221543785 3.744138577880066
15 0.016046250000000005 0.046384882255509435 0.03033863225550943 2.8906992135551559
16 0.016119375000000012 0.047499866916748651 0.031380491916748639 2.946756119064704
17 0.017078124999999996 0.045582972382178649 0.028504847382178653 2.6690852995969205
18 0.019845000000000002 0.057820919125180725 0.037975919125180724 2.9136265621154305
19 0.018229375000000003 0.044316348252896098 0.026086973252896096 2.4310404636964291
FROZEN DIRECT REPLAY 8 interior 1 min_ratio 3.079361258456818 mass matrix difference 2.0122792321330962e-16
bin required mass slack ratio
0 0.00018125000000000001 0.00055813422809531516 0.00037688422809531517 3.079361258456911
1 0.00017499999999999997 0.00053888822022994383 0.00036388822022994386 3.0793612584568222
2 0.00068125000000000011 0.0020978148573237076 0.0014165648573237076 3.0793612584568182
3 0.0011374999999999998 0.0035027734314947781 0.0023652734314947785 3.0793612584569483
4 0.0014625 0.0045035658404931926 0.0030410658404931923 3.0793612584568839
5 0.0029937499999999999 0.0092188377675140633 0.0062250877675140634 3.0793612584598127
6 0.0039750000000000002 0.012240461002373875 0.0082654610023738737 3.0793612584588361
7 0.0043687500000000002 0.01345295949789682 0.0090842094978968203 3.0793612584599299
8 0.0052750000000000002 0.016243630638369744 0.010968630638369744 3.0793612584587193
9 0.0073250000000000008 0.022556321218211085 0.015231321218211084 3.0793612584588508
10 0.0097375000000000014 0.029985280254247682 0.020247780254247678 3.0793612584593251
11 0.011072500000000001 0.034096227534288814 0.023023727534288815 3.0793612584591386
12 0.01405375 0.04327657328606891 0.02922282328606891 3.0793612584590524
13 0.017434999999999996 0.053688663541224917 0.036253663541224918 3.0793612584585563
14 0.019213750000000002 0.05916607737970847 0.039952327379708469 3.0793612584585759
15 0.018118750000000003 0.055794176801692866 0.037675426801692863 3.0793612584583845
16 0.019393749999999998 0.059720362406230243 0.040326612406230242 3.0793612584585368
17 0.020027500000000004 0.061671907603777512 0.041644407603777508 3.0793612584584946
18 0.023328749999999999 0.071837648958256284 0.048508898958256289 3.0793612584581811
19 0.026975000000000002 0.083065769946946602 0.056090769946946603 3.0793612584595587
FROZEN DIRECT REPLAY 8 interior 2 min_ratio 3.0397002540536735 mass matrix difference 3.7470027081099033e-16
bin required mass slack ratio
0 0.00018125000000000001 0.00055833165255227265 0.00037708165255227266 3.080450496840125
1 0.000165625 0.00051011246580966272 0.00034448746580966274 3.0799243218696617
2 0.00068749999999999996 0.0021355940903582003 0.0014480940903582003 3.1063186768846553
3 0.0011375000000000001 0.0035394213916053784 0.0024019213916053783 3.1115792453673654
4 0.001475 0.0045187552849560685 0.0030437552849560687 3.0635629050549618
5 0.0029937499999999999 0.0091378255206341005 0.0061440755206341006 3.0523008002118082
6 0.0039875000000000006 0.012425771523399872 0.0084382715233998727 3.1161809463071775
7 0.0043812500000000015 0.013507020785788911 0.0091257707857889097 3.0829148726479674
8 0.0052249999999999987 0.01606640156097762 0.010841401560977621 3.0749093896607893
9 0.0073468749999999984 0.022504454770769483 0.015157579770769484 3.0631329334947837
